HTC,CAUCA,NAR-PUT,VALLE,CQR,ANT-CHO,BOLIVAR,ATLANTICO,COR-SUC,GCM,NSANT,BOY-CAS,SANT-ARA,MET-GUAV,BOG-CUN
0.0460940686555714,0.0140759453056244,0.0146149340671958,0.0976072933802789,0.0372291131206866,0.126531620518917,0.0553076957446351,0.079750443894427,0.0628002484978236,0.083250204465633,0.0264597053285718,0.0360534056428917,0.0524614287508471,0.0441855201647902,0.223578372462106
0.045334973897307,0.0139447808061531,0.0144431286432524,0.0973078340390187,0.0366574995460111,0.126169023723492,0.0547079679744487,0.0791690767551864,0.0625337980541383,0.0824080165419899,0.0267559038773175,0.0364555011682639,0.0528626445728471,0.0419701375358622,0.229279712864712
0.0451876582865448,0.0137945679471759,0.0142958834863172,0.0970708015866716,0.0364186532651363,0.125982966505982,0.0547518164310402,0.0801599490942571,0.0620854354954444,0.0835930277211172,0.0266626161385011,0.0362293469224588,0.0519865585584924,0.0426264578115065,0.229154260749355
0.0454905656935067,0.0138543249372524,0.0143285548705308,0.0979329557392361,0.0365452964276756,0.126793811184372,0.0551597100116015,0.0812523202930147,0.0628715396177275,0.084394313350042,0.0264420069889019,0.0359098646635614,0.0521192855107339,0.0409911035801547,0.225914347131688
0.0460346463183899,0.0139561663289233,0.0144377638230213,0.0955107268005868,0.0360268481528322,0.125126482332642,0.0552233367821767,0.0804789319770329,0.0631207356887266,0.0864639241515469,0.0273893170565882,0.0367624002498228,0.0516243937711507,0.0395051207658261,0.228339205800733
0.0455346426622563,0.0138942672290016,0.0142930517145813,0.0944674211780688,0.0354967319890406,0.12442624911378,0.0550274333755097,0.0803291517458959,0.0633555931497471,0.0862275745076966,0.02773236739369,0.0371927809755112,0.0521413745846919,0.0368839892226074,0.232997371157921
0.0452504239294336,0.0137617869775355,0.0142072294597584,0.0945543134316755,0.0351514646791896,0.124472671754071,0.0547378692108552,0.0808420642566873,0.0625727543437161,0.0869441842034766,0.0275839426978029,0.0369538401273858,0.0512236099288992,0.0374423981579401,0.234301446841574
0.045600577512846,0.0137902343295136,0.0141653909711686,0.0954330108347254,0.035285416467887,0.125275451012887,0.0552012634970126,0.0820336583507387,0.0633853864447924,0.0878781971160241,0.0274341420452909,0.0367058129818314,0.0514023766680753,0.0358915054275656,0.230517576339641
0.0462469263714438,0.0139812860340986,0.0143772265920794,0.0932094566463163,0.0349153088761303,0.123601183429333,0.0553571774706752,0.0815780818966925,0.063764075715215,0.0876913739050708,0.0284757252970635,0.0378435924599027,0.0516185812109129,0.0355813275957895,0.231758676499277
0.0456470628386962,0.0138347160558312,0.0141615024250984,0.0925259774011012,0.0342507146768764,0.123149685848255,0.055057198858128,0.0812996727293296,0.0638480620413304,0.0874227099764855,0.0287572779337445,0.0381800799844145,0.0520817119389406,0.0326085540138938,0.237175073277875
0.0456524792511989,0.0137563138723378,0.0141299344775067,0.091835343818758,0.0340465989375774,0.122628655580003,0.0553104615230342,0.0822301101634772,0.0638255563048164,0.08892530941176,0.0287227920418856,0.038065859888498,0.0516323257239086,0.0331282975004968,0.236109961504741
0.0459568989278761,0.0137420595773217,0.0140517739295835,0.0926700842250812,0.0339397263295202,0.123410599867948,0.0558250568108968,0.0833886711182415,0.0646317320208472,0.0897549185025941,0.028479293640048,0.0376812714508475,0.0515437263252577,0.0316909127930882,0.233233274480848
0.0463181923327021,0.013895280943075,0.0142614168045025,0.0906186877652545,0.0338716916981155,0.121710279214696,0.0557036453225097,0.0825487471394987,0.0645951312882796,0.0896659612445221,0.0293911290909675,0.0388360560434229,0.0517861779982747,0.0325102341510381,0.234287368963141
0.0455976118617167,0.0137382914318932,0.0139779391499211,0.0902391102102073,0.0330759425963035,0.121595650392493,0.0550998715660722,0.0819642929537882,0.0643026599879789,0.0891514116310338,0.0296546408187277,0.0391600556565975,0.052134929627791,0.0294080452010111,0.240899546914465
0.045598979627853,0.0136261546107299,0.0139139963345685,0.0898935036620686,0.0328456406616617,0.121128263690402,0.0552516347565374,0.0827573887671881,0.0642261812896774,0.0905940203171826,0.029667132309937,0.0391742893691425,0.0517827058839433,0.0298302571519387,0.239709851567169
0.0459847613698686,0.0136406991323929,0.0139020292430757,0.0906061126078385,0.0327325907858641,0.121847920506888,0.055689127486573,0.0839901909461561,0.0649118929540134,0.0914664285330531,0.0295620722486751,0.0389788577806825,0.0518969550181211,0.0283944009846548,0.236395960402144
0.0461871297745161,0.0137874854927602,0.0140614945088654,0.0883101046935194,0.0327228050035556,0.119780146648641,0.0556016035469968,0.0830503514150332,0.0650047833813405,0.0918035635821192,0.0302902381758903,0.0400525488730797,0.0517468190537053,0.030177558132193,0.237423367717784
0.0457101195908963,0.0135871559538188,0.0137770797598781,0.0875158942727158,0.0317374783611132,0.119345490954139,0.0553780022734344,0.0829513113226553,0.065155221278399,0.0919374592081532,0.030619019868691,0.0404727804575331,0.0522158044895862,0.0269379268293061,0.24265925537968
0.0455568561572897,0.0135230720445863,0.0138110486016195,0.0873374447150292,0.0316644322197472,0.119126202354288,0.0552319371224437,0.0832785688803617,0.0647728847367639,0.0929510380295905,0.0305593016021598,0.0404483646501085,0.0517245989074741,0.0273654755312553,0.242648774447283
0.0461260522987924,0.0135541903769793,0.0137732275460425,0.0876192990697438,0.0313434608898067,0.119563364827458,0.0560094167002531,0.0848996032563212,0.0658244921026896,0.0942906998454343,0.0305004085918028,0.0402698893430036,0.0519169844859285,0.0259361384447814,0.238372772220963
0.0462060310110393,0.0136497250314325,0.0139791796064188,0.0855246211813463,0.03157391860768,0.11733119859781,0.0557257519833623,0.0838109152835563,0.0656795642773985,0.0946947965568067,0.0312715407078593,0.0416434354128378,0.0518719609977009,0.0283650989281969,0.238672261816554
0.0458587137611022,0.0134766378096945,0.0136496346424242,0.0845694753613688,0.0303104091262114,0.116691143663438,0.0556597846441978,0.0840029233452393,0.0659509331800911,0.0952372888023624,0.031659232686741,0.0421642451157183,0.0523732732894623,0.0250642529014952,0.243332051670453
0.0456379241349183,0.0134386028376905,0.0136972318814698,0.0843774917300241,0.0304126963266174,0.116539453796587,0.0554547697023053,0.0840724762370542,0.0656646422304452,0.0961898706226127,0.0315618415473423,0.0421436290391108,0.0518732034307236,0.0255232368623075,0.243412929620791
0.0461228768459019,0.0134063468812641,0.0135915226310445,0.0847337482440105,0.0299012080128987,0.11713195792737,0.0562503560457651,0.0855759514284265,0.0666289540003841,0.0973519112506922,0.03135652595926,0.0417378341595302,0.0517934008260273,0.0241661495477241,0.240251256239701
