gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Auto-Cog,NONE,2020,729.5162159999971,0.0,0.0
Auto-Cog,NONE,2025,729.5162159999969,0.0,0.0
Auto-Cog,NONE,2030,729.516215999997,0.0,0.0
Auto-Cog,NONE,2035,729.516215999997,0.0,0.0
Auto-Cog,NONE,2040,729.5162159999968,0.0,0.0
Auto-Cog,NONE,2045,729.5162159999968,0.0,0.0
Eolica,Wind,2020,9903.37092247175,0.0,0.0
Eolica,Wind,2025,13370.743675411693,0.0,0.0
Eolica,Wind,2030,19705.09604038602,0.0,0.0
Eolica,Wind,2035,22216.808922647837,0.0,0.0
Eolica,Wind,2040,27546.476134717625,0.0,0.0
Eolica,Wind,2045,28409.05459571337,0.0,0.0
Hidro,Water,2020,48679.699200000185,0.0,0.0
Hidro,Water,2025,50581.66080000041,0.0,0.0
Hidro,Water,2030,50962.05312000015,0.0,0.0
Hidro,Water,2035,51342.44544000034,0.0,0.0
Hidro,Water,2040,51559.81248000007,0.0,0.0
Hidro,Water,2045,51777.179520000456,0.0,0.0
Menores,RunofRiver,2020,3917.520328277409,0.0,0.0
Menores,RunofRiver,2025,3917.52032827741,0.0,0.0
Menores,RunofRiver,2030,3917.5203282774096,0.0,0.0
Menores,RunofRiver,2035,3917.520328277411,0.0,0.0
Menores,RunofRiver,2040,3917.5203282774087,0.0,0.0
Menores,RunofRiver,2045,3917.520328277409,0.0,0.0
Thermal,barranquilla_fo6,2020,0.0,0.0,0.0
Thermal,barranquilla_fo6,2025,0.0,0.0,0.0
Thermal,barranquilla_fo6,2030,0.0,0.0,0.0
Thermal,barranquilla_fo6,2035,0.0,0.0,0.0
Thermal,barranquilla_fo6,2040,0.0,0.0,0.0
Thermal,barranquilla_fo6,2045,0.0,0.0,0.0
Thermal,barranquilla_gas,2020,1645.629751596909,44481372.1856643,0.0
Thermal,barranquilla_gas,2025,21.364199999999848,577474.3259999959,0.0
Thermal,barranquilla_gas,2030,16.02314999999987,433105.74449999654,0.0
Thermal,barranquilla_gas,2035,21.364199999999947,577474.325999999,0.0
Thermal,barranquilla_gas,2040,10.682099999999897,288737.1629999974,0.0
Thermal,barranquilla_gas,2045,10.682099999999942,288737.1629999984,0.0
Thermal,candelaria_fo2,2020,0.0,0.0,0.0
Thermal,candelaria_fo2,2025,0.0,0.0,0.0
Thermal,candelaria_fo2,2030,0.0,0.0,0.0
Thermal,candelaria_fo2,2035,0.0,0.0,0.0
Thermal,candelaria_fo2,2040,0.0,0.0,0.0
Thermal,candelaria_fo2,2045,0.0,0.0,0.0
Thermal,cartagena_fo6,2020,0.0,0.0,0.0
Thermal,cartagena_fo6,2025,0.0,0.0,0.0
Thermal,cartagena_fo6,2030,0.0,0.0,0.0
Thermal,cartagena_fo6,2035,0.0,0.0,0.0
Thermal,cartagena_fo6,2040,0.0,0.0,0.0
Thermal,cartagena_fo6,2045,0.0,0.0,0.0
Thermal,cartagena_gas,2020,0.0,0.0,0.0
Thermal,cartagena_gas,2025,0.0,0.0,0.0
Thermal,cartagena_gas,2030,0.0,0.0,0.0
Thermal,cartagena_gas,2035,0.0,0.0,0.0
Thermal,cartagena_gas,2040,0.0,0.0,0.0
Thermal,cartagena_gas,2045,0.0,0.0,0.0
Thermal,flores_fo2,2020,0.0,0.0,0.0
Thermal,flores_fo2,2025,0.0,0.0,0.0
Thermal,flores_fo2,2030,0.0,0.0,0.0
Thermal,flores_fo2,2035,0.0,0.0,0.0
Thermal,flores_fo2,2040,0.0,0.0,0.0
Thermal,flores_fo2,2045,0.0,0.0,0.0
Thermal,flores_gas,2020,0.0,0.0,0.0
Thermal,flores_gas,2025,0.0,0.0,0.0
Thermal,flores_gas,2030,0.0,0.0,0.0
Thermal,flores_gas,2035,0.0,0.0,0.0
Thermal,flores_gas,2040,0.0,0.0,0.0
Thermal,flores_gas,2045,0.0,0.0,0.0
Thermal,gecelca_car,2020,2934.498864000008,92583439.15919976,0.0
Thermal,gecelca_car,2025,777.7068663811459,24536651.63432516,0.0
Thermal,gecelca_car,2030,89.1050599567827,2811264.641636493,0.0
Thermal,gecelca_car,2035,0.0,0.0,0.0
Thermal,gecelca_car,2040,49.29123827207416,1555138.567483939,0.0
Thermal,gecelca_car,2045,586.597053245243,18507137.029887427,0.0
Thermal,guajira_car,2020,2210.9435884799964,69755270.21654429,0.0
Thermal,guajira_car,2025,2210.9435884799964,69755270.21654429,0.0
Thermal,guajira_car,2030,1648.5625664593858,52012148.971793786,0.0
Thermal,guajira_car,2035,2210.9435884799964,69755270.21654429,0.0
Thermal,guajira_car,2040,1535.8602813420414,48456391.876341514,0.0
Thermal,guajira_car,2045,1853.7090259065776,58484519.76735276,0.0
Thermal,guajira_gas,2020,0.0,0.0,0.0
Thermal,guajira_gas,2025,0.0,0.0,0.0
Thermal,guajira_gas,2030,0.0,0.0,0.0
Thermal,guajira_gas,2035,0.0,0.0,0.0
Thermal,guajira_gas,2040,0.0,0.0,0.0
Thermal,guajira_gas,2045,0.0,0.0,0.0
Thermal,merielectrica_gas,2020,0.0,0.0,0.0
Thermal,merielectrica_gas,2025,0.0,0.0,0.0
Thermal,merielectrica_gas,2030,0.0,0.0,0.0
Thermal,merielectrica_gas,2035,0.0,0.0,0.0
Thermal,merielectrica_gas,2040,0.0,0.0,0.0
Thermal,merielectrica_gas,2045,0.0,0.0,0.0
Thermal,paipa_car,2020,0.0,0.0,0.0
Thermal,paipa_car,2025,2680.345958399996,84564914.98751989,0.0
Thermal,paipa_car,2030,2662.4934688008407,84001668.9406665,0.0
Thermal,paipa_car,2035,2680.3459583999975,84564914.98751988,0.0
Thermal,paipa_car,2040,2345.2071772799973,73991286.44318385,0.0
Thermal,paipa_car,2045,2680.345958399997,84564914.98751988,0.0
Thermal,tasajero_car,2020,2592.0888047999956,81780401.79144,0.0
Thermal,tasajero_car,2025,2592.0888047999956,81780401.79144001,0.0
Thermal,tasajero_car,2030,2592.0888047999956,81780401.79144,0.0
Thermal,tasajero_car,2035,2592.0888047999956,81780401.79144,0.0
Thermal,tasajero_car,2040,1969.0919335779267,62124850.50438362,0.0
Thermal,tasajero_car,2045,2592.0888047999956,81780401.79144002,0.0
Thermal,termocentro_gas,2020,0.0,0.0,0.0
Thermal,termocentro_gas,2025,0.0,0.0,0.0
Thermal,termocentro_gas,2030,0.0,0.0,0.0
Thermal,termocentro_gas,2035,0.0,0.0,0.0
Thermal,termocentro_gas,2040,0.0,0.0,0.0
Thermal,termocentro_gas,2045,0.0,0.0,0.0
Thermal,termocentro_ja1,2020,0.0,0.0,0.0
Thermal,termocentro_ja1,2025,0.0,0.0,0.0
Thermal,termocentro_ja1,2030,0.0,0.0,0.0
Thermal,termocentro_ja1,2035,0.0,0.0,0.0
Thermal,termocentro_ja1,2040,0.0,0.0,0.0
Thermal,termocentro_ja1,2045,0.0,0.0,0.0
Thermal,termodorada_fo2,2020,0.0,0.0,0.0
Thermal,termodorada_fo2,2025,0.0,0.0,0.0
Thermal,termodorada_fo2,2030,0.0,0.0,0.0
Thermal,termodorada_fo2,2035,0.0,0.0,0.0
Thermal,termodorada_fo2,2040,0.0,0.0,0.0
Thermal,termodorada_fo2,2045,0.0,0.0,0.0
Thermal,termodorada_gas,2020,0.0,0.0,0.0
Thermal,termodorada_gas,2025,0.0,0.0,0.0
Thermal,termodorada_gas,2030,0.0,0.0,0.0
Thermal,termodorada_gas,2035,0.0,0.0,0.0
Thermal,termodorada_gas,2040,0.0,0.0,0.0
Thermal,termodorada_gas,2045,0.0,0.0,0.0
Thermal,termosierra_fo2,2020,0.0,0.0,0.0
Thermal,termosierra_fo2,2025,0.0,0.0,0.0
Thermal,termosierra_fo2,2030,0.0,0.0,0.0
Thermal,termosierra_fo2,2035,0.0,0.0,0.0
Thermal,termosierra_fo2,2040,0.0,0.0,0.0
Thermal,termosierra_fo2,2045,0.0,0.0,0.0
Thermal,termosierra_gas,2020,0.0,0.0,0.0
Thermal,termosierra_gas,2025,0.0,0.0,0.0
Thermal,termosierra_gas,2030,0.0,0.0,0.0
Thermal,termosierra_gas,2035,0.0,0.0,0.0
Thermal,termosierra_gas,2040,0.0,0.0,0.0
Thermal,termosierra_gas,2045,0.0,0.0,0.0
Thermal,termovalle_cmp2,2020,0.0,0.0,0.0
Thermal,termovalle_cmp2,2025,0.0,0.0,0.0
Thermal,termovalle_cmp2,2030,0.0,0.0,0.0
Thermal,termovalle_cmp2,2035,0.0,0.0,0.0
Thermal,termovalle_cmp2,2040,0.0,0.0,0.0
Thermal,termovalle_cmp2,2045,0.0,0.0,0.0
Thermal,termovalle_gas,2020,0.0,0.0,0.0
Thermal,termovalle_gas,2025,0.0,0.0,0.0
Thermal,termovalle_gas,2030,0.0,0.0,0.0
Thermal,termovalle_gas,2035,0.0,0.0,0.0
Thermal,termovalle_gas,2040,0.0,0.0,0.0
Thermal,termovalle_gas,2045,0.0,0.0,0.0
Thermal,termoyopal_gas,2020,69.59619321600015,1881185.102628483,0.0
Thermal,termoyopal_gas,2025,0.0,0.0,0.0
Thermal,termoyopal_gas,2030,0.0,0.0,0.0
Thermal,termoyopal_gas,2035,0.0,0.0,0.0
Thermal,termoyopal_gas,2040,0.0,0.0,0.0
Thermal,termoyopal_gas,2045,0.0,0.0,0.0
Thermal,zipa_car,2020,1549.1643763200007,48876136.07289604,0.0
Thermal,zipa_car,2025,1549.1643763200007,48876136.072896056,0.0
Thermal,zipa_car,2030,774.5821881599983,24438068.036448047,0.0
Thermal,zipa_car,2035,1150.0777734182402,36284953.7513456,0.0
Thermal,zipa_car,2040,746.5413262656264,23553378.843680613,0.0
Thermal,zipa_car,2045,976.8341706050853,30819118.08259063,0.0
pv-solar,Solar,2020,5935.351521194386,0.0,0.0
pv-solar,Solar,2025,7881.368413389262,0.0,0.0
pv-solar,Solar,2030,9438.181927145184,0.0,0.0
pv-solar,Solar,2035,10751.743329376724,0.0,0.0
pv-solar,Solar,2040,11627.450930864436,0.0,0.0
pv-solar,Solar,2045,12503.158532352123,0.0,0.0
