GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
AGUAFRESCA,1987,7.29
ALEJANDRIA,1988,15.0
ALTOANCHICAY,1989,355.0
AMAIME,1990,19.17
AMOYA,1991,80.0
AUT_ARGOCGNA,1992,9.9
AUT_ARGOYUMB,1993,9.9
AUT_REFICAR,1994,9.9
AUT_UNIBOL,1995,1.1
AUT_YAGUARIT,1996,1.6
BAJOANCHICAY,1997,74.0
BARRANQUILLA3,1998,64.0
BARRANQUILLA3_FO6,1999,55.0
BARRANQUILLA4,2000,63.0
BARRANQUILLA4_FO6,2001,55.0
BARROSO,2002,19.9
BETANIA,2003,540.0
BIOG-TEQUENDAMA,2005,2.25
BIOG_DJUANA,2004,1.7
CALDERAS,2007,19.9
CALIMA,2008,132.0
CANA,2010,24.62
CANDELARIA1,2011,157.0
CANDELARIA1_FO2,2012,154.0
CANDELARIA2,2013,157.0
CANDELARIA2_FO2,2014,155.0
CARTAGENA1,2015,61.0
CARTAGENA1_FO6,2016,60.9
CARTAGENA2,2017,60.0
CARTAGENA2_FO6,2018,60.0
CARTAGENA3,1987,66.0
CARTAGENA3_FO6,1988,65.89
CARUQUIA,1989,9.5
CC_FLORES4,1990,450.0
CC_FLORES4_FO2,1991,450.0
CHIVOR,1994,1000.0
CIMARRON,1996,19.9
COG_COLTEJER,1997,9.4
COG_INCAUCA,1998,10.0
COG_MANUELIT,2001,3.5
COG_MAYAGUEZ,2002,19.9
COG_PROENCA,2003,19.9
COG_PROVIDEN,2004,14.0
COG_RISARALD,2005,15.0
CUCUANA,2007,60.0
C_LLERAS_R,2006,78.0
DARIO_VALENC,2008,150.0
ELMORRO1,2014,19.9
ELMORRO2,2015,19.9
ELPOPAL,2016,19.9
EL_QUIMBO,2013,396.0
EMCALI,2017,229.0
EMCALI_FO2,2018,213.0
ESMERALDA,1987,30.0
EXP_HID_1,1989,351.77
FLORES1,1990,160.0
FLORES1_FO2,1991,153.0
GUADALUPE_3,1992,270.0
GUADALUPE_4,1993,202.0
GUAJIRA1,1994,151.0
GUAJIRA1_CARBON,1995,151.0
GUAJIRA2,1996,145.0
GUAJIRA2_CARBON,1997,145.0
GUANAQUITAS,1998,9.5
GUATAPE,2000,560.0
GUAVIO,2001,1250.0
HD-ANT-CHO,2020,0.0
HD-ANT-CHO,2025,100.0
HD-ANT-CHO,2030,20.00000000000001
HD-ANT-CHO,2035,20.000000000000057
HD-ANT-CHO,2040,9.999999999999932
HD-ANT-CHO,2045,10.000000000000236
HD-ATLANTICO,2020,0.0
HD-ATLANTICO,2025,0.0
HD-ATLANTICO,2030,0.0
HD-ATLANTICO,2035,0.0
HD-ATLANTICO,2040,0.0
HD-ATLANTICO,2045,0.0
HD-BOG-CUN,2020,0.0
HD-BOG-CUN,2025,0.0
HD-BOG-CUN,2030,0.0
HD-BOG-CUN,2035,0.0
HD-BOG-CUN,2040,0.0
HD-BOG-CUN,2045,0.0
HD-BOLIVAR,2020,0.0
HD-BOLIVAR,2025,0.0
HD-BOLIVAR,2030,0.0
HD-BOLIVAR,2035,0.0
HD-BOLIVAR,2040,0.0
HD-BOLIVAR,2045,0.0
HD-BOY-CAS,2020,0.0
HD-BOY-CAS,2025,0.0
HD-BOY-CAS,2030,0.0
HD-BOY-CAS,2035,0.0
HD-BOY-CAS,2040,0.0
HD-BOY-CAS,2045,0.0
HD-CAUCA,2020,0.0
HD-CAUCA,2025,0.0
HD-CAUCA,2030,0.0
HD-CAUCA,2035,0.0
HD-CAUCA,2040,0.0
HD-CAUCA,2045,0.0
HD-COR-SUC,2020,0.0
HD-COR-SUC,2025,0.0
HD-COR-SUC,2030,0.0
HD-COR-SUC,2035,0.0
HD-COR-SUC,2040,0.0
HD-COR-SUC,2045,0.0
HD-CQR,2020,0.0
HD-CQR,2025,0.0
HD-CQR,2030,0.0
HD-CQR,2035,0.0
HD-CQR,2040,0.0
HD-CQR,2045,0.0
HD-GCM,2020,0.0
HD-GCM,2025,0.0
HD-GCM,2030,0.0
HD-GCM,2035,0.0
HD-GCM,2040,0.0
HD-GCM,2045,0.0
HD-HTC,2020,0.0
HD-HTC,2025,100.0
HD-HTC,2030,20.00000000000001
HD-HTC,2035,20.000000000000057
HD-HTC,2040,9.999999999999932
HD-HTC,2045,10.000000000000236
HD-MET-GUAV,2020,0.0
HD-MET-GUAV,2025,0.0
HD-MET-GUAV,2030,0.0
HD-MET-GUAV,2035,0.0
HD-MET-GUAV,2040,0.0
HD-MET-GUAV,2045,0.0
HD-NAR-PUT,2020,0.0
HD-NAR-PUT,2025,0.0
HD-NAR-PUT,2030,0.0
HD-NAR-PUT,2035,0.0
HD-NAR-PUT,2040,0.0
HD-NAR-PUT,2045,0.0
HD-NSANT,2020,0.0
HD-NSANT,2025,50.0
HD-NSANT,2030,10.000000000000005
HD-NSANT,2035,9.999999999999995
HD-NSANT,2040,9.999999999999998
HD-NSANT,2045,10.00000000000017
HD-SANT-ARA,2020,0.0
HD-SANT-ARA,2025,0.0
HD-SANT-ARA,2030,0.0
HD-SANT-ARA,2035,0.0
HD-SANT-ARA,2040,0.0
HD-SANT-ARA,2045,0.0
HD-VALLE,2020,0.0
HD-VALLE,2025,100.0
HD-VALLE,2030,20.00000000000001
HD-VALLE,2035,20.000000000000057
HD-VALLE,2040,9.999999999999932
HD-VALLE,2045,10.000000000000236
INSULA,2002,19.0
JAGUAS,2003,170.0
LAGUN-LIMON,2007,18.0
LA_GUACA,2005,324.0
LA_TASAJERA,2006,306.0
MEN_ANTIOQUIA,2009,31.78
MEN_CAUCANAR,2010,37.7
MEN_CHARQUITO,2011,19.4
MEN_CQR,2012,18.85
MEN_EMGESA,2013,55.79
MEN_EPM,2014,78.54
MEN_EPM_HERR,2015,20.0
MEN_EPM_JEPI,2016,18.42
MEN_EPM_VUEL,2017,11.6
MEN_EPSA,2018,23.37
MEN_HUILA,1987,11.14
MEN_Magallo,1988,5.7
MEN_NARPUT,1989,23.8
MEN_NORDESTE,1991,19.0
MEN_Naveta,1990,4.8
MEN_TEQUEN,1992,19.4
MEN_TOLIMA,1993,12.2
MERILECTRICA,1994,166.0
MIEL_I,1995,396.0
MIEL_II,1996,117.0
MONTANITAS,1998,19.9
MORRO_AZUL,1999,19.9
PAIPA1,2006,31.0
PAIPA2,2007,72.0
PAIPA3,2008,70.0
PAIPA4,2009,154.0
PAJARITO,2010,4.9
PARAISO,2011,276.0
PESCADERO,2013,300.0
PLAYAS,2014,207.0
PORCE_II,2015,405.0
PORCE_III,2016,700.0
PRADO,2017,46.0
PRADO4,2018,5.0
PROELECTRIC1,1987,45.0
PROELECTRIC1_FO2,1988,45.0
PROELECTRIC2,1989,45.0
PROELECTRIC2_FO2,1990,45.0
PROVIDENCIA,1991,4.9
PV-ANT-CHO,2020,180.0
PV-ANT-CHO,2025,79.99999999999997
PV-ANT-CHO,2030,26.821241486221023
PV-ANT-CHO,2035,133.17875851377931
PV-ANT-CHO,2040,240.00000000000034
PV-ANT-CHO,2045,139.99999999999935
PV-ATLANTICO,2020,180.0
PV-ATLANTICO,2025,79.99999999999997
PV-ATLANTICO,2030,26.821241486221023
PV-ATLANTICO,2035,133.17875851377931
PV-ATLANTICO,2040,240.00000000000034
PV-ATLANTICO,2045,139.99999999999935
PV-BOG-CUN,2020,0.0
PV-BOG-CUN,2025,0.0
PV-BOG-CUN,2030,0.0
PV-BOG-CUN,2035,0.0
PV-BOG-CUN,2040,0.0
PV-BOG-CUN,2045,0.0
PV-BOLIVAR,2020,180.0
PV-BOLIVAR,2025,79.99999999999997
PV-BOLIVAR,2030,26.821241486221023
PV-BOLIVAR,2035,133.17875851377931
PV-BOLIVAR,2040,240.00000000000034
PV-BOLIVAR,2045,139.99999999999935
PV-BOY-CAS,2020,180.0
PV-BOY-CAS,2025,19.999999999999993
PV-BOY-CAS,2030,0.0
PV-BOY-CAS,2035,0.0
PV-BOY-CAS,2040,180.0
PV-BOY-CAS,2045,19.999999999999993
PV-CAUCA,2020,180.0
PV-CAUCA,2025,79.99999999999997
PV-CAUCA,2030,0.0
PV-CAUCA,2035,40.00000000000019
PV-CAUCA,2040,180.0000000000003
PV-CAUCA,2045,79.99999999999952
PV-COR-SUC,2020,180.0
PV-COR-SUC,2025,79.99999999999997
PV-COR-SUC,2030,26.821241486221023
PV-COR-SUC,2035,133.17875851377931
PV-COR-SUC,2040,240.00000000000034
PV-COR-SUC,2045,139.99999999999935
PV-CQR,2020,180.0
PV-CQR,2025,19.999999999999993
PV-CQR,2030,0.0
PV-CQR,2035,0.0
PV-CQR,2040,180.0
PV-CQR,2045,19.999999999999993
PV-GCM,2020,180.0
PV-GCM,2025,79.99999999999997
PV-GCM,2030,26.821241486221023
PV-GCM,2035,133.17875851377931
PV-GCM,2040,240.00000000000034
PV-GCM,2045,139.99999999999935
PV-HTC,2020,180.0
PV-HTC,2025,79.99999999999997
PV-HTC,2030,0.0
PV-HTC,2035,40.00000000000019
PV-HTC,2040,180.0000000000003
PV-HTC,2045,79.99999999999952
PV-MET-GUAV,2020,100.0
PV-MET-GUAV,2025,0.0
PV-MET-GUAV,2030,0.0
PV-MET-GUAV,2035,0.0
PV-MET-GUAV,2040,0.0
PV-MET-GUAV,2045,100.0
PV-NAR-PUT,2020,180.0
PV-NAR-PUT,2025,19.999999999999993
PV-NAR-PUT,2030,0.0
PV-NAR-PUT,2035,0.0
PV-NAR-PUT,2040,180.0
PV-NAR-PUT,2045,19.999999999999993
PV-NSANT,2020,180.0
PV-NSANT,2025,19.999999999999993
PV-NSANT,2030,0.0
PV-NSANT,2035,0.0
PV-NSANT,2040,180.0
PV-NSANT,2045,19.999999999999993
PV-SANT-ARA,2020,180.0
PV-SANT-ARA,2025,79.99999999999997
PV-SANT-ARA,2030,0.0
PV-SANT-ARA,2035,140.00000000000037
PV-SANT-ARA,2040,125.25645957725996
PV-SANT-ARA,2045,134.7435404227402
PV-VALLE,2020,180.0
PV-VALLE,2025,79.99999999999997
PV-VALLE,2030,26.821241486221023
PV-VALLE,2035,133.17875851377931
PV-VALLE,2040,240.00000000000034
PV-VALLE,2045,139.99999999999935
Purificacion,1992,8.0
RIOGRANDE_1,1998,19.0
SALTO_II,2002,35.0
SALVAJINA,2003,285.0
SAN_CARLOS,2004,1240.0
SAN_FRANCISCO,2005,135.0
SNMIGUEL,2007,44.0
SOGAMOSO,2008,819.0
TASAJERO1,2009,163.0
TASAJERO2,2010,165.0
TC_GECELCA3,2011,164.0
TC_GECELCA32,2012,250.0
TEBSAB,2013,791.0
TEBSAB_FO2,2014,791.0
TERMOBOLIVAR,2018,9.7
TERMOCENTRO,1989,264.0
TERMOCENTRO_JA1,1990,264.0
TERMODORADA1,1991,51.0
TERMODORADA1_FO2,1992,45.9
TERMONORTE,1993,88.35
TERMOSIERRA,1994,445.0
TERMOSIERRA_FO2,1995,364.0
TERMOVALLE2,1998,205.0
TERMOVALLE2_CPM2,1999,196.93
TERMO_YOPAL1,2016,19.9
TERMO_YOPAL2,2017,30.0
TPIEDRAS,2002,3.75
TRONERAS,2003,40.0
TULUA_ALTO,2004,19.9
TULUA_BAJO,2005,19.9
TUNJITA,2007,20.0
TermoCaribe1,1987,150.0
TermoCaribe2,1988,42.0
TermoSolo1,1996,148.0
TermoSolo2,1997,80.0
URRA,2008,338.0
WN-ANT-CHO,2020,200.0
WN-ANT-CHO,2025,99.99999999999997
WN-ANT-CHO,2030,100.00000000000009
WN-ANT-CHO,2035,100.00000000000003
WN-ANT-CHO,2040,60.000000000000675
WN-ANT-CHO,2045,80.00000000000055
WN-ATLANTICO,2020,200.0
WN-ATLANTICO,2025,99.99999999999997
WN-ATLANTICO,2030,100.00000000000009
WN-ATLANTICO,2035,100.00000000000003
WN-ATLANTICO,2040,60.000000000000675
WN-ATLANTICO,2045,80.00000000000055
WN-BOG-CUN,2020,200.0
WN-BOG-CUN,2025,99.99999999999997
WN-BOG-CUN,2030,100.00000000000009
WN-BOG-CUN,2035,100.00000000000003
WN-BOG-CUN,2040,60.000000000000675
WN-BOG-CUN,2045,80.00000000000055
WN-BOLIVAR,2020,200.0
WN-BOLIVAR,2025,99.99999999999997
WN-BOLIVAR,2030,100.00000000000009
WN-BOLIVAR,2035,100.00000000000003
WN-BOLIVAR,2040,60.000000000000675
WN-BOLIVAR,2045,80.00000000000055
WN-BOY-CAS,2020,200.0
WN-BOY-CAS,2025,99.99999999999997
WN-BOY-CAS,2030,100.00000000000009
WN-BOY-CAS,2035,100.00000000000003
WN-BOY-CAS,2040,60.000000000000675
WN-BOY-CAS,2045,80.00000000000055
WN-CAUCA,2020,200.0
WN-CAUCA,2025,99.99999999999997
WN-CAUCA,2030,100.00000000000009
WN-CAUCA,2035,100.00000000000003
WN-CAUCA,2040,60.000000000000675
WN-CAUCA,2045,80.00000000000055
WN-COR-SUC,2020,200.0
WN-COR-SUC,2025,99.99999999999997
WN-COR-SUC,2030,100.00000000000009
WN-COR-SUC,2035,100.00000000000003
WN-COR-SUC,2040,60.000000000000675
WN-COR-SUC,2045,80.00000000000055
WN-CQR,2020,200.0
WN-CQR,2025,99.99999999999997
WN-CQR,2030,100.00000000000009
WN-CQR,2035,100.00000000000003
WN-CQR,2040,60.000000000000675
WN-CQR,2045,80.00000000000055
WN-GCM,2020,200.0
WN-GCM,2025,99.99999999999997
WN-GCM,2030,100.00000000000009
WN-GCM,2035,100.00000000000003
WN-GCM,2040,60.000000000000675
WN-GCM,2045,80.00000000000055
WN-HTC,2020,200.0
WN-HTC,2025,99.99999999999997
WN-HTC,2030,100.00000000000009
WN-HTC,2035,100.00000000000003
WN-HTC,2040,60.000000000000675
WN-HTC,2045,80.00000000000055
WN-MET-GUAV,2020,200.0
WN-MET-GUAV,2025,99.99999999999997
WN-MET-GUAV,2030,100.00000000000009
WN-MET-GUAV,2035,100.00000000000003
WN-MET-GUAV,2040,60.000000000000675
WN-MET-GUAV,2045,80.00000000000055
WN-NAR-PUT,2020,200.0
WN-NAR-PUT,2025,99.99999999999997
WN-NAR-PUT,2030,100.00000000000009
WN-NAR-PUT,2035,100.00000000000003
WN-NAR-PUT,2040,60.000000000000675
WN-NAR-PUT,2045,80.00000000000055
WN-NSANT,2020,200.0
WN-NSANT,2025,99.99999999999997
WN-NSANT,2030,100.00000000000009
WN-NSANT,2035,100.00000000000003
WN-NSANT,2040,60.000000000000675
WN-NSANT,2045,80.00000000000055
WN-SANT-ARA,2020,200.0
WN-SANT-ARA,2025,99.99999999999997
WN-SANT-ARA,2030,100.00000000000009
WN-SANT-ARA,2035,100.00000000000003
WN-SANT-ARA,2040,60.000000000000675
WN-SANT-ARA,2045,80.00000000000055
WN-VALLE,2020,200.0
WN-VALLE,2025,99.99999999999997
WN-VALLE,2030,100.00000000000009
WN-VALLE,2035,100.00000000000003
WN-VALLE,2040,60.000000000000675
WN-VALLE,2045,80.00000000000055
ZIPAEMG2,2009,34.0
ZIPAEMG3,2010,63.0
ZIPAEMG4,2011,64.0
ZIPAEMG5,2012,63.0
jaguey,2004,19.4
pwcon3,1993,150.0
rubiales,1999,19.4
