GENERATION_PROJECT,build_year,gen_overnight_costs
BARRANQUILL3,1980,.
BARRANQUILL4,1980,.
TEBSAB,1998,.
TEBSAGIM,1998,.
FLORES 1,1993,.
FLORES1GN,1993,.
FLORES4,2010,.
FLORES4GIM,2010,.
CARTAGENA1,1995,.
CARTAGGAS1,1995,.
CARTAGENA2,1980,.
CARTAGGAS2,1980,.
CARTAGENA3,1980,.
CARTAGGAS3,1980,.
PROELECTRIC1,1993,.
PROELECTRIC2,1993,.
CANDELARIA1,2000,.
CANDELARIA2,2000,.
TERMONORTE,2018,.
GUAJIRA1,1983,.
GUAJ1GAS,1983,.
GUAJIRA2,1987,.
GUAJ2GAS,1987,.
TC_GECELCA32,2018,.
TC_GECELCA3,2015,.
PAIPA 1,1963,.
PAIPA 2,1975,.
PAIPA 3,1982,.
PAIPA 4,1999,.
TASAJERO 1,1985,.
TASAJERO 2,2015,.
ZIPAEMG2,1964,.
ZIPAEMG3,1976,.
ZIPAEMG4,1981,.
ZIPAEMG5,1985,.
MERILECTRICA,1998,.
TERMOSIERRA,1998,.
TSIERRAGAS,1998,.
TERMOCENTRO,2000,.
TERMODORADA1,1997,.
TERMODORAGAS,1997,.
TERMOVALLE,2011,.
TERMOVAGAS,2011,.
TERMOEMCALI,1999,.
TERMOEMCGAS,1999,.
TERMO YOPAL2,2004,.
C_CANDELARIA,2022,.
TERMO_JAGUEY,.,.
TERMORUBIALE,.,.
ELTESORITO,2022,.
TERMOYOPALG3,2020,.
TERMOYOPALG4,2020,.
TERMOYOPALG5,2021,.
TERMOCARIBE3,.,.