,GENERATION_PROJECT,gen_tech,Gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw
0,BARRANQUILL3,Thermal,GASIMPOR,ATLANTICO,.,.,1,.,5.53,.
1,BARRANQUILL4,Thermal,GASIMPOR,ATLANTICO,.,.,1,.,5.53,.
2,TEBSAB,Thermal,GASNACIO,ATLANTICO,.,.,1,.,5.53,.
3,TEBSAGIM,Thermal,GASIMPOR,ATLANTICO,.,.,1,.,5.53,.
4,FLORES 1,Thermal,GASIMPOR,ATLANTICO,.,.,1,.,5.53,.
5,FLORES1GN,Thermal,GASNACIO,ATLANTICO,.,.,1,.,5.53,.
6,FLORES4,Thermal,GASNACIO,ATLANTICO,.,.,1,.,5.53,.
7,FLORES4GIM,Thermal,GASIMPOR,ATLANTICO,.,.,1,.,5.53,.
8,CARTAGENA1,Thermal,COMBUSTOLEO,BOLIVAR,.,.,1,.,7.08,.
9,CARTAGGAS1,Thermal,GASNACIO,BOLIVAR,.,.,1,.,5.53,.
10,CARTAGENA2,Thermal,COMBUSTOLEO,BOLIVAR,.,.,1,.,7.08,.
11,CARTAGGAS2,Thermal,GASNACIO,BOLIVAR,.,.,1,.,5.53,.
12,CARTAGENA3,Thermal,COMBUSTOLEO,BOLIVAR,.,.,1,.,7.08,.
13,CARTAGGAS3,Thermal,GASNACIO,BOLIVAR,.,.,1,.,5.53,.
14,PROELECTRIC1,Thermal,GASNACIO,BOLIVAR,.,.,1,.,5.53,.
15,PROELECTRIC2,Thermal,GASNACIO,BOLIVAR,.,.,1,.,5.53,.
16,CANDELARIA1,Thermal,GASIMPOR,BOLIVAR,.,.,1,.,5.53,.
17,CANDELARIA2,Thermal,GASIMPOR,BOLIVAR,.,.,1,.,5.53,.
18,TERMONORTE,Thermal,ACPM,GCM,.,.,1,.,7.08,.
19,GUAJIRA1,Thermal,CARBON,GCM,.,.,1,.,8.62,.
20,GUAJ1GAS,Thermal,GASNACIO,GCM,.,.,1,.,5.53,.
21,GUAJIRA2,Thermal,CARBON,GCM,.,.,1,.,8.62,.
22,GUAJ2GAS,Thermal,GASNACIO,GCM,.,.,1,.,5.53,.
23,TC_GECELCA32,Thermal,CARBON,COR-SUC,.,.,1,.,8.62,.
24,TC_GECELCA3,Thermal,CARBON,COR-SUC,.,.,1,.,8.62,.
25,PAIPA 1,Thermal,CARBON,BOY-CAS,.,.,1,.,8.62,.
26,PAIPA 2,Thermal,CARBON,BOY-CAS,.,.,1,.,8.62,.
27,PAIPA 3,Thermal,CARBON,BOY-CAS,.,.,1,.,8.62,.
28,PAIPA 4,Thermal,CARBON,BOY-CAS,.,.,1,.,8.62,.
29,TASAJERO 1,Thermal,CARBON,NSANT,.,.,1,.,8.62,.
30,TASAJERO 2,Thermal,CARBON,NSANT,.,.,1,.,8.62,.
31,ZIPAEMG2,Thermal,CARBON,BOG-CUN,.,.,1,.,8.62,.
32,ZIPAEMG3,Thermal,CARBON,BOG-CUN,.,.,1,.,8.62,.
33,ZIPAEMG4,Thermal,CARBON,BOG-CUN,.,.,1,.,8.62,.
34,ZIPAEMG5,Thermal,CARBON,BOG-CUN,.,.,1,.,8.62,.
35,MERILECTRICA,Thermal,GASNACIO,SANT-ARA,.,.,1,.,5.53,.
36,TERMOSIERRA,Thermal,ACPM,ANT-CHO,.,.,1,.,7.08,.
37,TSIERRAGAS,Thermal,GASNACIO,ANT-CHO,.,.,1,.,5.53,.
38,TERMOCENTRO,Thermal,GASNACIO,SANT-ARA,.,.,1,.,5.53,.
39,TERMODORADA1,Thermal,ACPM,CQR,.,.,1,.,7.08,.
40,TERMODORAGAS,Thermal,GASNACIO,CQR,.,.,1,.,5.53,.
41,TERMOVALLE,Thermal,ACPM,VALLE,.,.,1,.,7.08,.
42,TERMOVAGAS,Thermal,GASNACIO,VALLE,.,.,1,.,5.53,.
43,TERMOEMCALI,Thermal,ACPM,VALLE,.,.,1,.,7.08,.
44,TERMOEMCGAS,Thermal,GASNACIO,VALLE,.,.,1,.,5.53,.
45,TERMO YOPAL2,Thermal,GAS-YOPAL,BOY-CAS,.,.,1,.,5.53,.
46,C_CANDELARIA,Thermal,GASIMPOR,BOLIVAR,.,.,1,.,8.45,.
47,TERMO_JAGUEY,Thermal,COMBUSTOLEO,.,.,.,1,.,8.4,.
48,TERMORUBIALE,Thermal,COMBUSTOLEO,MET-GUAV,.,.,1,.,8.4,.
49,ELTESORITO,Thermal,GASNACIO,COR-SUC,.,.,1,.,5.53,.
50,TERMOYOPALG3,Thermal,GAS-YOPAL,BOY-CAS,.,.,1,.,5.53,.
51,TERMOYOPALG4,Thermal,GAS-YOPAL,BOY-CAS,.,.,1,.,5.53,.
52,TERMOYOPALG5,Thermal,GAS-YOPAL,BOY-CAS,.,.,1,.,5.53,.
53,TERMOCARIBE3,Thermal,GLP,.,.,.,1,.,8.4,.