GENERATION_PROJECT,gen_tech,gen_load_zone,gen_connect_cost_per_mw,gen_capacity_limit_mw,gen_full_load_heat_rate,gen_variable_om,gen_max_age,gen_min_build_capacity,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_is_variable,gen_is_baseload,gen_is_cogen,gen_energy_source,gen_unit_size,gen_ccs_capture_efficiency,gen_ccs_energy_load,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_min_load_fraction,gen_startup_fuel,gen_startup_om,gen_min_downtime,gen_can_provide_spinning_reserves
CC_FLORES4,Thermal,ATLANTICO,0,.,7.7395,27.03,80,0,0.0304,0.1003,0,0,0,flores_gas,1.0,.,.,.,.,1,0.2,8.51345,0,2,1
CC_FLORES4_FO2,Thermal,ATLANTICO,0,.,8.0385,29.29,80,0,0.0304,0.6222,0,0,0,flores_fo2,1.0,.,.,.,.,0,0.2,8.84235,0,2,0
CIMARRON,Thermal,BOY-CAS,0,.,13.5,27.03,80,0,0.0304,0.1814,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,14.85,0,2,1
ELMORRO1,Thermal,BOY-CAS,0,.,13.5,27.03,80,0,0.0304,0.1814,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,1.1,0,2,1
ELMORRO2,Thermal,BOY-CAS,0,.,13.84,27.03,80,0,0.0304,0.1814,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,15.224,0,2,1
EMCALI,Thermal,VALLE,0,.,7.4639,27.03,80,0,0.0304,0.1814,0,0,0,termovalle_gas,1.0,.,.,.,.,1,0.2,8.21029,0,2,1
EMCALI_FO2,Thermal,VALLE,0,.,8.019,29.29,80,0,0.0304,0.035,0,0,0,termovalle_cmp2,1.0,.,.,.,.,0,0.2,8.8209,0,2,0
FLORES1,Thermal,ATLANTICO,0,.,7.3505,27.03,80,0,0.0304,0.0428,0,0,0,flores_gas,1.0,.,.,.,.,1,0.2,8.08555,0,2,1
FLORES1_FO2,Thermal,ATLANTICO,0,.,8.8665,29.29,80,0,0.0304,0.6222,0,0,0,flores_fo2,1.0,.,.,.,.,0,0.2,9.75315,0,2,0
GUAJIRA1,Thermal,GCM,0,.,9.8,27.03,80,0,0.0304,0.1814,0,0,0,guajira_gas,1.0,.,.,.,.,1,0.2,10.78,0,2,1
GUAJIRA1_CARBON,Thermal,GCM,0,.,9.6,31.55,80,0,0.0304,0.1814,0,0,0,guajira_car,1.0,.,.,.,.,1,0.2,10.56,0,2,1
GUAJIRA2,Thermal,GCM,0,.,10.2,27.03,80,0,0.0304,0.1128,0,0,0,guajira_gas,1.0,.,.,.,.,1,0.2,11.22,0,2,1
GUAJIRA2_CARBON,Thermal,GCM,0,.,9.9,31.55,80,0,0.0304,0.1128,0,0,0,guajira_car,1.0,.,.,.,.,1,0.2,10.89,0,2,1
jaguey,Thermal,MET-GUAV,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
MERILECTRICA,Thermal,SANT-ARA,0,.,9.7655,27.03,80,0,0.0304,0.0442,0,0,0,merielectrica_gas,1.0,.,.,.,.,1,0.2,10.74205,0,2,1
PAIPA1,Thermal,BOY-CAS,0,.,11.9554,31.55,80,0,0.0304,0.1814,0,0,0,paipa_car,1.0,.,.,.,.,1,0.2,13.15094,0,2,1
PAIPA2,Thermal,BOY-CAS,0,.,10.7918,31.55,80,0,0.0304,0.127,0,0,0,paipa_car,1.0,.,.,.,.,1,0.2,11.87098,0,2,1
PAIPA3,Thermal,BOY-CAS,0,.,12.2715,31.55,80,0,0.0304,0.0755,0,0,0,paipa_car,1.0,.,.,.,.,1,0.2,13.49865,0,2,1
PAIPA4,Thermal,BOY-CAS,0,.,9.5355,31.55,80,0,0.0304,0.0074,0,0,0,paipa_car,1.0,.,.,.,.,1,0.2,10.48905,0,2,1
PROELECTRIC1,Thermal,BOLIVAR,0,.,7.942,27.03,80,0,0.0304,0.0766,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,8.7362,0,2,1
PROELECTRIC1_FO2,Thermal,BOLIVAR,0,.,10.12,29.29,80,0,0.0304,0.0766,0,0,0,flores_fo2,1.0,.,.,.,.,0,0.2,11.132,0,2,0
PROELECTRIC2,Thermal,BOLIVAR,0,.,7.9418,27.03,80,0,0.0304,0.0788,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,8.73598,0,2,1
PROELECTRIC2_FO2,Thermal,BOLIVAR,0,.,10.12,29.29,80,0,0.0304,0.0788,0,0,0,flores_fo2,1.0,.,.,.,.,0,0.2,11.132,0,2,0
Purificacion,Thermal,HTC,0,.,11.148,27.03,80,0,0.0304,0.1814,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,12.2628,0,2,1
pwcon3,Thermal,COR-SUC,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,gecelca_car,1.0,.,.,.,.,1,0.2,12.001,0,2,1
rubiales,Thermal,MET-GUAV,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
TASAJERO1,Thermal,NSANT,0,.,9.1268,31.55,80,0,0.0304,0.064,0,0,0,tasajero_car,1.0,.,.,.,.,1,0.2,10.03948,0,2,1
TASAJERO2,Thermal,NSANT,0,.,9.7214,31.55,80,0,0.0304,0.1323,0,0,0,tasajero_car,1.0,.,.,.,.,1,0.2,10.69354,0,2,1
TC_GECELCA3,Thermal,COR-SUC,0,.,13,31.55,80,0,0.0304,0.1814,0,0,0,gecelca_car,1.0,.,.,.,.,1,0.2,14.3,0,2,1
TC_GECELCA32,Thermal,COR-SUC,0,.,11,31.55,80,0,0.0304,0.1814,0,0,0,gecelca_car,1.0,.,.,.,.,1,0.2,12.1,0,2,1
TEBSAB,Thermal,ATLANTICO,0,.,7.2131,27.03,80,0,0.0304,0.0355,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,7.93441,0,2,1
TEBSAB_FO2,Thermal,ATLANTICO,0,.,9.0505,29.29,80,0,0.0304,0.6222,0,0,0,flores_fo2,1.0,.,.,.,.,1,0.2,9.95555,0,2,1
TERMO_YOPAL1,Thermal,BOY-CAS,0,.,12.7057,27.03,80,0,0.0304,0.1096,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,13.97627,0,2,1
TERMO_YOPAL2,Thermal,BOY-CAS,0,.,12.0234,27.03,80,0,0.0304,0.1096,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,13.22574,0,2,1
TERMOBOLIVAR,Thermal,BOY-CAS,0,.,9.5,27.03,80,0,0.0304,0.1814,0,0,0,termoyopal_gas,1.0,.,.,.,.,1,0.2,10.45,0,2,1
TermoCaribe1,Thermal,BOLIVAR,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
TermoCaribe2,Thermal,BOLIVAR,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,barranquilla_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
TERMOCENTRO,Thermal,SANT-ARA,0,.,7.2683,27.03,80,0,0.0304,0.1064,0,0,0,termocentro_gas,1.0,.,.,.,.,1,0.2,7.99513,0,2,1
TERMOCENTRO_JA1,Thermal,SANT-ARA,0,.,8.3824,29.29,80,0,0.0304,0.1064,0,0,0,termocentro_ja1,1.0,.,.,.,.,1,0.2,9.22064,0,2,1
TERMODORADA1,Thermal,CQR,0,.,10.5559,27.03,80,0,0.0304,0.1814,0,0,0,termodorada_gas,1.0,.,.,.,.,1,0.2,11.61149,0,2,1
TERMODORADA1_FO2,Thermal,CQR,0,.,9.7755,29.29,80,0,0.0304,0.6222,0,0,0,termodorada_fo2,1.0,.,.,.,.,0,0.2,10.75305,0,2,0
TERMONORTE,Thermal,GCM,0,.,8.7515,29.29,80,0,0.0304,0.6222,0,0,0,flores_fo2,1.0,.,.,.,.,1,0.2,9.62665,0,2,1
TERMOSIERRA,Thermal,ANT-CHO,0,.,7.1417,27.03,80,0,0.0304,0.199,0,0,0,termosierra_gas,1.0,.,.,.,.,1,0.2,7.85587,0,2,1
TERMOSIERRA_FO2,Thermal,ANT-CHO,0,.,7.5938,29.29,80,0,0.0304,0.6222,0,0,0,termosierra_fo2,1.0,.,.,.,.,0,0.2,8.35318,0,2,0
TermoSolo1,Thermal,VALLE,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,termovalle_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
TermoSolo2,Thermal,VALLE,0,.,10.91,31.55,80,0,0.0304,0.1323,0,0,0,termovalle_gas,1.0,.,.,.,.,1,0.2,12.001,0,2,1
TERMOVALLE2,Thermal,VALLE,0,.,6.8536,27.03,80,0,0.0304,0.0947,0,0,0,termovalle_gas,1.0,.,.,.,.,1,0.2,7.53896,0,2,1
TERMOVALLE2_CPM2,Thermal,VALLE,0,.,7.8816,29.29,80,0,0.0304,0.0947,0,0,0,termovalle_cmp2,1.0,.,.,.,.,1,0.2,8.66976,0,2,1
TPIEDRAS,Thermal,HTC,0,.,2.46,27.03,80,0,0.0304,0.35,0,0,0,barranquilla_gas,1.0,.,.,.,.,0,0.2,2.706,0,2,0
ZIPAEMG2,Thermal,BOG-CUN,0,.,11.72067,31.55,80,0,0.0304,0.273,0,0,0,zipa_car,1.0,.,.,.,.,1,0.2,12.892737,0,2,1
ZIPAEMG3,Thermal,BOG-CUN,0,.,12.8203,31.55,80,0,0.0304,0.2174,0,0,0,zipa_car,1.0,.,.,.,.,1,0.2,14.10233,0,2,1
ZIPAEMG4,Thermal,BOG-CUN,0,.,13.6509,31.55,80,0,0.0304,0.2389,0,0,0,zipa_car,1.0,.,.,.,.,1,0.2,15.01599,0,2,1
ZIPAEMG5,Thermal,BOG-CUN,0,.,12.3226,31.55,80,0,0.0304,0.1426,0,0,0,zipa_car,1.0,.,.,.,.,1,0.2,13.55486,0,2,1
PV-HTC,pv-solar,HTC,0,300,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-CAUCA,pv-solar,CAUCA,0,300,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-NAR-PUT,pv-solar,NAR-PUT,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-VALLE,pv-solar,VALLE,0,2000,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-CQR,pv-solar,CQR,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-ANT-CHO,pv-solar,ANT-CHO,0,3200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-BOLIVAR,pv-solar,BOLIVAR,0,2400,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-ATLANTICO,pv-solar,ATLANTICO,0,2200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-COR-SUC,pv-solar,COR-SUC,0,1800,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-GCM,pv-solar,GCM,0,4200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-NSANT,pv-solar,NSANT,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-BOY-CAS,pv-solar,BOY-CAS,0,200,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-SANT-ARA,pv-solar,SANT-ARA,0,400,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-MET-GUAV,pv-solar,MET-GUAV,0,100,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
PV-BOG-CUN,pv-solar,BOG-CUN,0,0,.,0,20,0,0,0.02,1,0,0,Solar,.,.,.,.,.,0,0,.,.,2,0
WN-HTC,Eolica,HTC,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-CAUCA,Eolica,CAUCA,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-NAR-PUT,Eolica,NAR-PUT,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-VALLE,Eolica,VALLE,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-CQR,Eolica,CQR,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-ANT-CHO,Eolica,ANT-CHO,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOLIVAR,Eolica,BOLIVAR,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-ATLANTICO,Eolica,ATLANTICO,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-COR-SUC,Eolica,COR-SUC,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-GCM,Eolica,GCM,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-NSANT,Eolica,NSANT,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOY-CAS,Eolica,BOY-CAS,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-SANT-ARA,Eolica,SANT-ARA,130,680,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-MET-GUAV,Eolica,MET-GUAV,130,700,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
WN-BOG-CUN,Eolica,BOG-CUN,130,720,.,0,30,0,0.05,0.006,1,0,0,Wind,.,.,.,.,.,0,0,.,.,2,0
HD-HTC,Hidro,HTC,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-CAUCA,Hidro,CAUCA,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-NAR-PUT,Hidro,NAR-PUT,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-VALLE,Hidro,VALLE,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-CQR,Hidro,CQR,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-ANT-CHO,Hidro,ANT-CHO,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOLIVAR,Hidro,BOLIVAR,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-ATLANTICO,Hidro,ATLANTICO,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-COR-SUC,Hidro,COR-SUC,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-GCM,Hidro,GCM,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-NSANT,Hidro,NSANT,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOY-CAS,Hidro,BOY-CAS,140,500,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-SANT-ARA,Hidro,SANT-ARA,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-MET-GUAV,Hidro,MET-GUAV,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
HD-BOG-CUN,Hidro,BOG-CUN,140,0,.,0,35,0,0.0987,0.38,0,0,0,Water,.,.,.,.,.,1,0,.,.,2,1
